course_name,level,level/_source,course_num/_text,course_name/_source,course_num/_source,level/_text,course_name/_text,course_num
http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006,/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006,16.01,/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006,/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006,Undergraduate,"Unified Engineering I, II, III, & IV",http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006
http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012,/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012,16.660J,/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012,/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012,Undergraduate,Introduction to Lean Six Sigma Methods,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012
http://ocw.mit.edu/resources/res-16-001-lean-enterprise-en-espanol-january-iap-2012,http://ocw.mit.edu/resources/res-16-001-lean-enterprise-en-espanol-january-iap-2012,/resources/res-16-001-lean-enterprise-en-espanol-january-iap-2012,Supplemental,/resources/res-16-001-lean-enterprise-en-espanol-january-iap-2012,/resources/res-16-001-lean-enterprise-en-espanol-january-iap-2012,Undergraduate,Lean Enterprise en Español,http://ocw.mit.edu/resources/res-16-001-lean-enterprise-en-espanol-january-iap-2012
http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-346-astrodynamics-fall-2008,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-346-astrodynamics-fall-2008,/courses/aeronautics-and-astronautics/16-346-astrodynamics-fall-2008,16.346,/courses/aeronautics-and-astronautics/16-346-astrodynamics-fall-2008,/courses/aeronautics-and-astronautics/16-346-astrodynamics-fall-2008,Graduate,Astrodynamics,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-346-astrodynamics-fall-2008
http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-885j-aircraft-systems-engineering-fall-2005,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-885j-aircraft-systems-engineering-fall-2005,/courses/aeronautics-and-astronautics/16-885j-aircraft-systems-engineering-fall-2005,16.885J,/courses/aeronautics-and-astronautics/16-885j-aircraft-systems-engineering-fall-2005,/courses/aeronautics-and-astronautics/16-885j-aircraft-systems-engineering-fall-2005,Graduate,Aircraft Systems Engineering,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-885j-aircraft-systems-engineering-fall-2005
http://ocw.mit.edu/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,http://ocw.mit.edu/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,21A.341J,/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,Undergraduate,"Energy Decisions, Markets, and Policies",http://ocw.mit.edu/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012
http://ocw.mit.edu/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012,http://ocw.mit.edu/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012,/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012,21A.550J,/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012,/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012,Undergraduate,DV Lab: Documenting Science Through Video and New Media,http://ocw.mit.edu/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012
http://ocw.mit.edu/courses/architecture/4-125-architecture-studio-building-in-landscapes-fall-2002,http://ocw.mit.edu/courses/architecture/4-125-architecture-studio-building-in-landscapes-fall-2002,/courses/architecture/4-125-architecture-studio-building-in-landscapes-fall-2002,4.125,/courses/architecture/4-125-architecture-studio-building-in-landscapes-fall-2002,/courses/architecture/4-125-architecture-studio-building-in-landscapes-fall-2002,Undergraduate,Architecture Studio: Building in Landscapes,http://ocw.mit.edu/courses/architecture/4-125-architecture-studio-building-in-landscapes-fall-2002
http://ocw.mit.edu/courses/architecture/4-301-introduction-to-the-visual-arts-spring-2007,http://ocw.mit.edu/courses/architecture/4-301-introduction-to-the-visual-arts-spring-2007,/courses/architecture/4-301-introduction-to-the-visual-arts-spring-2007,4.301,/courses/architecture/4-301-introduction-to-the-visual-arts-spring-2007,/courses/architecture/4-301-introduction-to-the-visual-arts-spring-2007,Undergraduate,Introduction to the Visual Arts,http://ocw.mit.edu/courses/architecture/4-301-introduction-to-the-visual-arts-spring-2007
http://ocw.mit.edu/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012,http://ocw.mit.edu/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012,/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012,4.215J,/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012,/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012,Graduate,Sensing Place: Photography as Inquiry,http://ocw.mit.edu/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012
